GRADUATEYEAR,STUDENTID,AlgorithmDesignandAnalysis,ArtificialIntelligence,CalculusforScience,CommunicativeEnglishForAcademicAnalysisInComputerTechnology,CommunicativeEnglishForResearchPresentationInComputerTechnology,CommunicativeEnglishForSpecificPurposesInComputerTechnology,ComputerArchitecture,ComputerNetworkAndDataCommunication,DataMiningTechniques,DataScience,DataStructure,DatabaseSystems,DevelopmentalEnglish,DigitalImageProcessing,DigitalMarketing,DiscreteMathematicsForComputerScience,EnergyAndTechnologyAroundUs,EnglishCriticalReadingForEffectiveCommunication,EnglishWritingForEffectiveCommunication,FundamentalEnglish,FundamentalLawsForQualityOfLife,FundamentalsOfProgramming,HistoryAndDevelopmentOfComputerTechnology,InternetProgramming,IntroductionToComputerInformationScience,IntroductionToRobotics,LanguageSocietyAndCulture,LifePrivacy,LifeSkills,LifeAndHealth,LinearAlgebraAndApplications,ManAndEnvironment,MathematicsForScience,MobileApplicationDevelopment,MultimediaApplicationDevelopment,MultimediaAnd WebTechnology,MusicStudiesInThaiCulture,ObjectOrientedProgramming,OperatingSystems,PhilosophyOfScience,PoliticsEconomyandSociety,ProgrammingLanguages,Seminar ,SensingAndActuationForInternetOfThings,SoftwareEngineering,SpecialTopicsInComputerScience,StatisticalAnalysis,SystemAnalysisAndDesign,ThaiLanguageSkills,GPAgraduate
2562,100205568,D+,D+,D+,C,C,B+,D,D+,C,,D,D,C,,,D,B+,B+,D+,B+,B,B+,,,,,,,F,,,,C+,,,,,D,D,C+,C,D,B,,B+,,F,C+,C+,2.1
2562,100205606,C,C+,D,B,C,B+,C,D,C,,D+,F,F,,,B+,,D+,D+,D+,C,B+,,,,,,,,B+,,,D+,C+,,C,C,D,C,C+,,D,C+,,D+,,D,C,C,2
2564,100215265,D,F,F,A,A,A,C+,D,,,C+,D,C+,,,B,D+,B+,B+,B+,,B,,C,,,C,,,,,,D+,C,,,,D+,D,C+,C+,D,B,,C+,C+,D,C,C,2.01
2562,100225543,C,D,F,B,D+,D,D+,D+,,,D+,C,B+,,,D+,B,C+,C+,C+,B,C+,,,,,C+,,,,,,F,,B,C,B+,D,C,C+,,D,B,,D+,C,F,C+,C+,2.1
2565,100225544,D+,D,F,D+,C,D+,C+,D+,,,B,F,B+,,,C+,C+,C+,B+,C+,B,C+,,,,B,D+,,A,,,,F,D+,,C,C+,C,C+,C+,,C,B,,D+,,D+,C,B,2.15
2562,100225553,D,D,F,B,D+,D,D+,D+,,,C,C+,B,,,C,C+,F,C+,F,C,D+,,,,,C+,,,,,,F,F,B,C,B,C,C+,C+,,D,B,,D+,D,C,B+,C,2
2562,100225572,D+,D+,D+,B,A,B,D+,F,C+,,D+,C+,A,,,C,B+,A,A,A,C+,A,,,,D+,,,,,,,D,,,C,A,A,C,B,,D+,B,,C,C,D,C,B+,2.46
2562,100225580,D+,D,D+,D,D+,D+,D+,F,C+,,C,C,C,,,C,C+,C,C,C,C+,C+,,,,,C,,,,,,F,D+,D+,C,,C,C,C+,A,D,C+,,C+,B+,D+,C+,B,2.08
2562,100239251,C,C+,D,B,C+,B+,D,D+,C+,,D,B,B+,,,C+,B,A,C,A,B,C,,,,C,B,,A,,,B+,D+,,,C+,,D,C,C+,,D+,A,,D+,B+,D+,B+,B,2.3
2562,100239272,A,A,C+,A,A,A,A,B,A,,B,A,A,,,B+,B+,A,C,A,B,B,,,,B+,C,,,,,B+,C+,A,,C+,,A,B+,C+,B,B+,A,,B+,A,C+,A,B,3.3
